"Year" "Species_ID" "presence_01" "Species_name" "Maxheight_cm" "Family" "IUCN_CH" "N_value" "C" "R" "T_value" "K_value" "L_value" "F_value" "R_value" "H_Rivers_and_Lakes" "H_Shorelines" "H_Bogs_and_mires" "H_Rocks_and_debris" "H_Dry_meadows" "H_Rich_meadows" "H_Alpine_pastures" "H_Herbaceous_fringe" "H_Shrubs_hedges" "H_Forests" "H_Ruderal_areas" "H_Cropfields" "IUCNorder" "Fn" "Tn" "Kn" "Rn" "Nn" "Ln" "Rnum" "Cnum" "yeardif" "yeardifnew" "xy_coded"
"46" 1995 "62400" 1 "Blackstonia perfoliata (L.) Huds." 50 "Gentianaceae" "VU" "1" "0" "RRR" "4" "3" "4" "3.5" "4" "0" "0" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "5_VU" 3.5 4 3 4 1 4 3 0 17 15 9
"47" 1995 "160100" 1 "Euphorbia falcata L." 20 "Euphorbiaceae" "EN" "4" "0" "RRR" "5" "3" "4" "2" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "4_EN" 2 5 3 4 4 4 3 0 17 15 10
"48" 1995 "262300" 1 "Misopates orontium (L.) Raf." 30 "Scrophulariaceae" "VU" "1" "0" "RRR" "4.5" "2" "4" "3" "2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "5_VU" 3 4.5 2 2 1 4 3 0 17 15 10
"49" 1962 "343100" 1 "Reseda phyteuma L." 30 "Resedaceae" "EN" "4" "0" "RRR" "5" "4" "4" "1" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "4_EN" 1 5 4 4 4 4 3 0 50 48 10
"50" 1996 "360700" 1 "Rumex pulcher L." 60 "Polygonaceae" "VU" "4" "C" "R" "5" "3" "4" "3" "3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "5_VU" 3 5 3 3 4 4 1 1 16 14 10
"51" 2000 "373400" 1 "Saxifraga granulata L." 50 "Saxifragaceae" "EN" "2" "C" "R" "4" "2" "4" "2.5" "3" "0" "0" "0" "0" "1" "1" "0" "0" "0" "0" "0" "0" "4_EN" 2.5 4 2 3 2 4 1 1 12 10 10
"52" 1996 "385100" 0 "Sedum rubens L." 15 "Crassulaceae" "VU" "3" "C" "0" "4.5" "2" "4" "1" "2" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "5_VU" 1 4.5 2 2 3 4 0 1 16 14 10
"53" 1966 "419800" 0 "Thymelaea passerina (L.) Coss. & Germ." 40 "Thymelaeaceae" "EN" "4" "0" "RRR" "4.5" "4" "4" "2" "4" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "4_EN" 2 4.5 4 4 4 4 3 0 46 44 10
"54" 1995 "437600" 1 "Valerianella rimosa Bastard" 30 "Valerianaceae" "EN" "3" "0" "RRR" "4.5" "2" "4" "2.5" "2" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "4_EN" 2.5 4.5 2 2 3 4 3 0 17 15 10
"55" 1995 "445200" 1 "Vicia cracca subsp. tenuifolia (Roth) Bonnier & Layens" 120 "Fabaceae" "NT" "3" "C" "R" "4.5" "4" "3" "2" "3" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "6_NT" 2 4.5 4 3 3 3 1 1 17 15 10
"56" 1995 "62400" 1 "Blackstonia perfoliata (L.) Huds." 50 "Gentianaceae" "VU" "1" "0" "RRR" "4" "3" "4" "3.5" "4" "0" "0" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "5_VU" 3.5 4 3 4 1 4 3 0 17 15 10
"57" 1995 "360700" 1 "Rumex pulcher L." 60 "Polygonaceae" "VU" "4" "C" "R" "5" "3" "4" "3" "3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "5_VU" 3 5 3 3 4 4 1 1 17 15 11
"58" 1995 "439500" 1 "Verbascum pulverulentum Vill." 200 "Scrophulariaceae" "EN" "4" "C" "R" "4.5" "2" "4" "2" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "4_EN" 2 4.5 2 4 4 4 1 1 17 15 11
"59" 1995 "448900" 1 "Viola alba subsp. scotophylla (Jord.) Nyman" 15 "Violaceae" "VU" "3" "CC" "0" "4.5" "4" "3" "2" "4" NA NA NA NA NA NA NA NA NA NA NA NA "5_VU" 2 4.5 4 4 3 3 0 2 17 15 11
"60" 1998 "156800" 0 "Eruca sativa Mill." 50 "Brassicaceae" "VU" "4" "C" "RR" "4.5" "4" "4" "2.5" "3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "5_VU" 2.5 4.5 4 3 4 4 2 1 14 12 12
"61" 1995 "197200" 1 "Heliotropium europaeum L." 30 "Boraginaceae" "VU" "4" "C" "RR" "4.5" "4" "4" "2" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "5_VU" 2 4.5 4 4 4 4 2 1 17 15 12
"62" 1998 "426800" 1 "Trifolium patens Schreb." 50 "Fabaceae" "VU" "3" "0" "RR" "4" "2" "4" "3" "4" "0" "0" "1" "0" "0" "1" "0" "0" "0" "0" "1" "0" "5_VU" 3 4 2 4 3 4 2 0 14 12 12
"63" 1998 "72400" 1 "Calendula arvensis L." 30 "Asteraceae" "EN" "3" "0" "RRR" "5" "3" "4" "1.5" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "4_EN" 1.5 5 3 4 3 4 3 0 14 12 12
"64" 1997 "229400" 1 "Lathyrus hirsutus L." 100 "Fabaceae" "CR" "3" "C" "RR" "4.5" "4" "3" "2" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "3_CR" 2 4.5 4 4 3 3 2 1 15 13 13
"65" 1998 "246400" 0 "Luzula forsteri (Sm.) DC." 40 "Juncaceae" "NT" "2" "C" "0" "4.5" "2" "2" "2" "2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "6_NT" 2 4.5 2 2 2 2 0 1 14 12 13
"66" 1997 "341200" 0 "Ranunculus sardous Crantz" 30 "Ranunculaceae" "CR" "3" "0" "RR" "4.5" "2" "4" "4" "3" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "3_CR" 4 4.5 2 3 3 4 2 0 15 13 13
"67" 1995 "193600" 1 "Gypsophila muralis L." 15 "Caryophyllaceae" "EN" "3" "0" "RR" "4" "4" "4" "3.5" "2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "4_EN" 3.5 4 4 2 3 4 2 0 17 15 14
"68" 1998 "246400" 1 "Luzula forsteri (Sm.) DC." 40 "Juncaceae" "NT" "2" "C" "0" "4.5" "2" "2" "2" "2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "6_NT" 2 4.5 2 2 2 2 0 1 14 12 14
"69" 1997 "337100" 1 "Ranunculus arvensis L." 60 "Ranunculaceae" "VU" "3" "0" "RRR" "4.5" "4" "4" "2.5" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "5_VU" 2.5 4.5 4 4 3 4 3 0 15 13 14
"70" 1998 "437600" 1 "Valerianella rimosa Bastard" 30 "Valerianaceae" "EN" "3" "0" "RRR" "4.5" "2" "4" "2.5" "2" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "4_EN" 2.5 4.5 2 2 3 4 3 0 14 12 14
"71" 1995 "62400" 1 "Blackstonia perfoliata (L.) Huds." 50 "Gentianaceae" "VU" "1" "0" "RRR" "4" "3" "4" "3.5" "4" "0" "0" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "5_VU" 3.5 4 3 4 1 4 3 0 17 15 14
"72" 1995 "193600" 0 "Gypsophila muralis L." 15 "Caryophyllaceae" "EN" "3" "0" "RR" "4" "4" "4" "3.5" "2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "4_EN" 3.5 4 4 2 3 4 2 0 17 15 15
"73" 1995 "230900" 1 "Lathyrus tuberosus L." 90 "Fabaceae" "VU" "3" "CC" "R" "4.5" "4" "4" "2" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "5_VU" 2 4.5 4 4 3 4 1 2 17 15 15
"74" 1995 "437600" 0 "Valerianella rimosa Bastard" 30 "Valerianaceae" "EN" "3" "0" "RRR" "4.5" "2" "4" "2.5" "2" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "4_EN" 2.5 4.5 2 2 3 4 3 0 17 15 15
